Label,Risk Sentence
0,risk factor risk factor normal course business activity exposed variety risk
0,following discussion material risk factor applicable u
0,additional information risk management framework included risk management management discussion analysis form
0,additional risk beyond described management discussion analysis following discussion may apply activity operation currently conducted may conduct future market operate may future operate
0,strategic risk consummation planned acquisition bbh investor service business subject receipt regulatory approval satisfaction closing condition failure delay may prevent delay consummation acquisition
0,september 7 2021 announced entered definitive agreement bbh acquire bbh investor service business including custody accounting fund administration global market technology service 3
0,5 billion cash subject customary adjustment
0,transaction subject receipt regulatory approval satisfaction waiver closing condition
0,regulatory review taking longer initially anticipated
0,provide assurance necessary regulatory approval obtained timing regulatory approval challenging political regulatory environment make review longer uncertain provide assurance closing condition satisfied waived
0,failure obtain necessary regulatory approval failure satisfy delay obtaining required condition could delay completion acquisition significant period time require modified prevent occurring
0,even successfully consummate planned acquisition bbh investor service business may fail realize anticipated benefit transaction benefit may take longer realize expected
0,ability realize anticipated benefit planned acquisition depend large extent ability integrate bbh investor service business business realize anticipated growth opportunity cost synergy
0,integration bbh investor service business business complex costly process subject delay change management may face significant challenge implementing integration including without limitation challenge related retaining business revenue bbh investor service business current client many right consent transfer business state street transition business another provider short notice integrating bbh investor service business software solution including infomediary communication platform existing product service comprehensive suite product service including state street alpha client bbh investor service business achieving anticipated cost revenue synergy combination bbh investor service business state street managing system operational business complexity cost associated combining two different global security servicing platform including maintaining service consistency information security business continuity compliance controlling operational risk associated technology conversion transitioning bbh investor service business senior management team investment service partner role within larger company retaining key employee bbh investor service business
0,delay failure achieving foregoing could materially adversely impact expected benefit acquisition
0,state street corporation 23 subject intense competition aspect business could negatively affect ability maintain increase profitability
0,market operate across facet business highly competitive global
0,market changing result new evolving law regulation applicable financial service institution
0,market change always anticipated may adversely affect demand profitability product service offer
0,addition new market entrant competitor may address influence change market rapidly may materially greater resource invest infrastructure product development may provide client attractive offering product service adversely affecting business
0,effort develop market new product particularly fintech sector including state street digital state street alpha may position u new market competitor strong market position
0,also experienced anticipate continue experience significant pricing pressure many core business particularly custodial investment management service
0,pricing pressure may continue impact revenue growth operational margin may limit positive impact new client demand growth
0,many business compete domestic international bank financial service company custody bank investment advisor outsourcing company information provider data analytics processing company
0,consolidation within financial service industry could also pose challenge u market serve including potentially increased downward pricing pressure across business
0,competitor including competitor core service substantially greater capital resource subject stringent capital regulatory requirement may constrained requirement due relative size balance sheet
0,competitor instance significant client retention client involves additional risk avoidance actual perceived conflict interest maintenance high level service quality confidentiality
0,ability competitor offer comparable improved product service lower price would likely negatively affect ability maintain increase profitability
0,many core service subject contract relatively short term may terminated client short notice period
0,addition pricing pressure result activity competitor client pricing review rebids well introduction new product may result reduction price charge product service
0,subject variability asset custody administration asset management financial result due significant size relationship many institutional client also subject significant pricing pressure due trend market custodial service considerable market influence exerted client
0,client include institutional investor mutual fund collective investment fund ucits hedge fund investment pool corporate public retirement plan insurance company foundation endowment investment manager
0,asset servicing asset management business endeavor attract institutional investor controlling large diverse pool asset client typically opportunity benefit full range expertise service offering
0,due large pool asset controlled client loss gain one client even portion asset controlled one client client decision certain service provide could significant effect aum applicable relevant period
0,loss portion servicing client asset occur variety reason
0,example result decision diversify provider one large asset servicing client advised u expects move significant portion etf asset currently state street one provider pending necessary approval
0,transition expected begin 2022 principally occur 2023 2024
0,year ended december 31 2021 fee revenue associated transitioning asset represented approximately 1
0,aum also affected decision institutional owner favor disfavor certain investment instrument category
0,similarly one client change asset class significant portion asset invested e
0,change could significant effect result operation relevant period fee rate often change based type asset class servicing managing
0,fee revenue significantly impacted level aum change level different asset class could corresponding significant effect result operation relevant period
0,large institutional client also nature often able exert considerable market influence state street corporation 24 combined strong competitive force market service resulted may continue result significant pressure reduce fee charge service asset servicing asset management line business
0,strategy focusing effort segment market investor service represented large asset manager asset owner cause u particularly impacted industry trend
0,many large client also competitive regulatory pressure driving manage expense investment product incur aggressively turn exacerbates pressure fee
0,development completion new product service including state street digital state street alpha may impose cost u involve dependency third party may expose u increased operational model risk
0,financial performance depends part ability develop market new innovative service adopt develop new technology differentiate product provide cost efficiency avoiding increased related expense
0,dependency exacerbated current fintech environment financial institution investing significantly evaluating new technology distributed ledger technology blockchain developing potentially product service standard
0,example 2018 acquired crd leveraging capability acquired create state street alpha combining offering investment servicing business line
0,similarly 2021 established state street digital focus development digital asset technology
0,introduction new product service require significant time resource including regulatory approval development implementation technical data management control model validation requirement effective security resiliency element
0,new product service state street digital state street alpha often also involve dependency third party among thing access innovative technology develop new distribution channel form collaborative product service offering require complex strategic alliance joint venture relationship
0,substantial risk uncertainty associated introduction new product service strategic alliance joint venture including rapid technological change industry ability access technical data information client significant ongoing investment required bring new product service market timely manner competitive price sharing benefit relationship conflict existing business partner client protection intellectual property competition employee necessary expertise experience sale material fully accurately describe product service underlying risk compliant applicable regulation
0,new product service may fail operate perform expected may suitable intended client may produce anticipated efficiency saving benefit either client u
0,failure manage risk uncertainty also expose u enhanced risk operational lapse may result recognition financial statement liability
0,regulatory internal control requirement capital requirement competitive alternative vendor relationship shifting market preference may also determine initiative brought market manner timely attractive client
0,failure successfully manage risk development implementation new product service including completion state street alpha could material adverse effect business reputation consolidated result operation financial condition
0,business may negatively affected failure update maintain technology infrastructure
0,order maintain grow business must make strategic decision current future business plan effectively execute upon plan
0,strategic initiative currently developing executing include cost initiative enhancement efficiency operational process improvement existing new service offering targeting sale growth certain segment market investor service asset management enhancement existing development new information technology system
0,implementing strategic program creating cost efficiency involves certain strategic technological operational risk
0,many feature present initiative include investment system integration new technology also development new evolution existing method tool accelerate pace innovation introduction new service enhancement resiliency system operation
0,initiative also may result increased unanticipated cost earnings volatility may take longer anticipated implement may result increase operating loss inadvertent data disclosure operating error
0,implementing program may material dependency third party
0,transition new operating process technology infrastructure may also cause disruption relationship client employee loss institutional understanding may present state street corporation 25 unanticipated technical operational hurdle
0,addition relocation expansion servicing activity operation different geographic region vendor may entail client regulatory third party data use storage security challenge well regulatory compliance business continuity consideration
0,result may achieve anticipated cost saving benefit may experience unanticipated challenge client regulator party reputational harm
0,addition system development initiative may access significant resource management attention consequently may delayed unsuccessful
0,many system require enhancement meet requirement evolving regulation enhance security resiliency decommission obsolete technology permit u optimize use capital reduce risk operating error
0,addition implementation state street alpha platform integration crd requires substantial system development expense
0,pandemic continues create significant risk uncertainty business
0,extent pandemic continues impact business result operation financial condition well regulatory capital liquidity ratio regulatory requirement united state internationally depend future development highly uncertain predicted including scope duration pandemic effectiveness work home arrangement staffing level operational facility challenge associated return office plan maintaining safe office environment integrating engaging staff impact market participant rely action taken governmental authority third party response pandemic impact equity market valuation extended sale implementation cycle client service management fee revenue
0,global economic pressure related pandemic moderated pandemic continues create economic uncertainty may lead negative future impact global economy cause fluctuation equity market valuation decrease liquidity fixed income market create volatility disruption financial market
0,impact may lead renewed outsized demand transaction processing capability asset servicing business volatility foreign exchange asset management business
0,new market economic uncertainty could also increase risk inherent activity credit provider investment pool institutional investor cause u increase provision credit loss
0,addition market participant reliance upon work home capability light pandemic potential inability maintain critical staff operational facility including facility united state united kingdom germany china india poland present risk associated local infrastructure increasingly restrictive local regulation illness quarantine sustainability work home environment increased risk cybersecurity attack
0,material extended disruption ability deliver service meet responsibility settlement security market activity likely result operating loss loss revenue penalty service contract may material adverse impact result operation financial condition
0,new pressure global economy also arising ongoing disruption global supply chain material shift employment trend may drive negative impact business
0,particular trend related staff retention created heightened concern around talent management
0,success depends large part ability attract retain key people
0,unintended loss service key personnel staff could material adverse impact business loss skill knowledge market operation client year industry experience sufficient talent meet client demand growth difficulty replacing talent current market condition
0,addition moved business emerging market e
0,china india poland increased turnover salary competition location may lead heightened risk cost
0,acquisition strategic alliance joint venture divestiture pose risk business
0,part business strategy acquire complementary business technology enter strategic alliance joint venture divest portion business
0,undertake transaction varying size among reason expand geographic footprint access new client distribution channel technology service develop closer collaborative relationship business partner efficiently deploy capital leverage cost saving business financial opportunity
0,may achieve expected benefit transaction could result increased cost lowered revenue ineffective deployment capital regulatory concern exit cost diminished competitive position reputation
0,transaction nature also involve number risk financial accounting tax regulatory strategic managerial operational cultural employment challenge could adversely state street corporation 26 affect consolidated result operation financial condition
0,example business acquire strategic alliance joint venture may relative price paid resource committed u may achieve anticipated revenue growth cost saving may otherwise adversely affected charge
