Label,Risk Sentence
3,risk factor section highlight certain risk could affect u business broadly categorized strategic business competitive risk legal regulatory compliance risk credit liquidity market risk
3,carefully consider following risk information set forth annual report form including risk management section mda describes approach identifying monitoring managing risk assume conducting business provides certain quantitative qualitative disclosure market risk
3,additional risk uncertainty presently known u currently believe immaterial may also adversely affect business
3,strategic business competitive risk business economic condition major driver result operation difficult condition business economic environment may materially adversely affect business
3,offer broad array product service consumer small business company large corporation thus dependent upon level consumer business activity demand payment financing product
3,slow economic growth economic contraction shift broader consumer business trend significantly impact customer behavior including spending card ability willingness card member borrow pay amount owed u demand product service
3,factor consumer spending confidence household income housing price unemployment rate business investment inventory level bankruptcy geopolitical instability including ongoing military conflict ukraine public policy decision government spending international trade relationship interest rate tax inflation deflation including effect related governmental response energy cost availability capital credit continuing impact pandemic affect economic environment ultimately profitability
3,sustained period high inflation may among thing increase certain expense erode consumer purchasing power confidence spending
3,economic downturn recession may result higher unemployment lower household income consumer spending corporate earnings business investment may negatively impact spending card demand product increase delinquency rate
3,travel entertainment te expenditure comprised approximately 25 percent worldwide billed business 2022 example sensitive business personal discretionary spending level tend decline general economic downturn
3,likewise spending small business corporate client comprised approximately 45 percent worldwide billed business 2022 depends part economic environment favorable climate continued business investment new business formation
3,increase delinquency rate result increase bankruptcy unemployment rate change customer behavior otherwise could also material adverse effect result operation
3,consequence negative circumstance impacting u economic environment generally sudden severe impact customer type geography operate different way
3,business subject effect geopolitical condition weather natural disaster catastrophic event
3,geopolitical condition terrorist attack natural disaster severe weather widespread health emergency pandemic information cyber security incident including intrusion degradation unavailability system technology cyberattacks operational incident catastrophic event material adverse effect business
3,political social condition including action aimed upending geopolitical stability fiscal monetary policy including development related u
3,federal debt ceiling trade war tariff labor shortage prolonged recurring government shutdown regional domestic hostility economic sanction prospect occurrence widespread conflict could also negatively affect business operation partner consumer business spending including travel pattern business investment demand credit
3,derive portion revenue spending business sensitive safety concern related travel tourism limitation travel mobility risk
3,addition disruption air travel form travel result payment claim travel protection product offer
3,pandemic continues widespread rapidly evolving unpredictable impact global society economy financial market consumer business spending
3,pandemic resulting containment measure adversely impacted significant portion network volume
3,global macroeconomic outlook continues remain uncertain due variety factor including emergence new variant impact labor market supply chain disruption inflation impact pandemic may continue even pandemic subsides
3,extent business result operation could continue adversely affected lingering impact pandemic depend numerous evolving factor future development including continued spread severity virus new variant imposition concern relating possible imposition containment measure availability distribution use effectiveness treatment vaccine extent duration effect economy inflation consumer confidence consumer business spending impact consumer business forbearance government support program end continued stress business due operational change staffing issue extent continued resumption normal operating condition customer behavior
3,following russian invasion ukraine announced suspended business operation russia belarus conflict led economic uncertainty market disruption including heightened energy price imposition financial economic sanction export control designed constrain russia
3,broader consequence conflict remain uncertain may include sanction regional instability geopolitical shift increased prevalence sophistication cyberattacks potential retaliatory action customer russian government company u heightened regulatory scrutiny related sanction compliance increased inflation increase fluctuation commodity energy price decrease global travel disruption global supply chain availability certain natural resource adverse effect macroeconomic condition
3,hurricane natural disaster impacted spending credit performance area affected
3,disaster catastrophic event future impact event certain industry overall economy could negative effect business result operation infrastructure including technology system
3,climate change may exacerbate certain threat including frequency severity event
3,card member california new york florida texas georgia new jersey account significant portion u
3,consumer small business billed business card member loan result operation could impacted event condition disproportionately specifically affect one state
3,operating result may materially suffer substantial increasingly intense competition worldwide payment industry
3,payment industry highly competitive compete card network issuer acquirer transaction e
3,cash check bank transfer model e
3,wire transfer ach well evolving growing alternative payment financing provider
3,able differentiate competitor develop compelling value proposition customer effectively grow area mobile online payment emerging technology may able compete effectively
3,believe visa mastercard larger country based purchase volume
3,result card issuer acquirer visa mastercard network may able benefit dominant position scale resource marketing pricing network
3,business may also negatively affected unable continue increasing merchant acceptance including merchant accept card visa mastercard network perception coverage card member experience welcome acceptance card
3,competitor developed may develop substantially greater financial resource may offer richer value proposition wider range program service offer may use effective strategy acquire retain customer capture greater share spending borrowing develop attractive cobrand card partner program maintain greater merchant acceptance
3,government action initiative may also provide competitor increased opportunity derive competitive advantage may create new competitor including case government entity
3,may able compete effectively threat respond adapt change consumer spending borrowing habit effectively competitor
3,cost card member reward card member service expense could continue increase evolve value proposition including response increased competition
3,spending card could continue impacted increasing consumer usage credit debit card issued network well adoption alternative payment mechanism system product
3,fragmentation customer spending take advantage different merchant card incentive convenience technological solution may continue increase
3,revolving credit balance card could also impacted alternative financing provider lender buy pay later product
3,extent payment financing mechanism system product continue successfully expand discount revenue earned card member spending net interest income earned card member borrowing could negatively impacted
3,addition company control access consumer merchant payment method choice point sale digital wallet experience mobile application technology could choose accept suppress use degrade experience using product could restrict access customer transaction data
3,company could also require payment u participate digital wallet experience application negotiate incentive pricing concession impacting profitability transaction
3,competitive value data demand product service may also diminished traditional competitor use new data source technology derive similar insight certain regulation open banking initiative may result disintermediating existing financial service provider steering customer away product service decreasing attractiveness partner
3,extent expand grow new business area new geographic region mainland china face competitor experience established relationship relevant customer regulator industry participant could adversely affect ability compete
3,law business practice favor local competitor require card transaction routed domestic network prohibit limit foreign ownership certain business could limit growth international region
3,may face additional compliance regulatory risk extent expand new business area may need dedicate expense time resource comply regulatory requirement competitor particularly regulated financial institution
3,many competitor subject different case le stringent legislative regulatory regime may lower cost structure agile business model system
3,restrictive law regulation apply competitor put u disadvantage including prohibiting u engaging certain transaction regulating business practice adversely affecting cost structure
3,face intense competition partner relationship could result loss renegotiation arrangement could material adverse impact business result operation
3,ordinary course business enter different type contractual arrangement business partner variety industry
3,example partnered delta marriott hilton british airway well many others globally offer cobranded card consumer small business membership reward program partnered business many industry including delta others airline industry offer benefit card member participant
3,see partner relationship business additional information business partnership including delta
3,competition relationship key business partner intense assurance able grow maintain partner relationship remain profitable valued customer
3,establishing retaining attractive cobrand card partnership particularly competitive among card issuer network partnership typically appeal loyal customer
3,cobrand portfolio aggregate accounted approximately 18 percent worldwide network volume year ended december 31 2022
3,card member loan related cobrand portfolio accounted approximately 36 percent worldwide card member loan december 31 2022
3,cobrand arrangement entered fixed period generally ranging five ten year terminate accordance term including end fixed period unless extended renewed option party upon early termination result event default otherwise
3,face risk could lose partner relationship even invested significant resource relationship
3,may also choose renew certain cobrand relationship
3,network volume could decline card member attrition could increase case significantly result termination one cobrand partnership relationship
3,addition cobrand arrangement provide upon expiration termination cobrand partner may purchase designate third party purchase loan generated respect program could result loss card account significant decline card member loan outstanding
3,regularly seek extend renew cobrand arrangement advance end contract term face risk existing relationship renegotiated le favorable term u may unable renegotiate term acceptable u competition relationship continues increase
3,make payment cobrand partner significant based primarily amount card member spending corresponding reward earned spending certain arrangement number account acquired retained
3,amount pay cobrand partner increased particularly united state may continue increase arrangement renegotiated due increasingly intense competition cobrand partner among card issuer network
3,loss exclusivity arrangement business partner loss partner relationship altogether whether end contract period end relationship costco united state 2016 result merger legal regulatory action otherwise withdrawal american airline 2014 airport club access program centurion platinum card member renegotiation existing partnership term significantly worse u could material adverse impact business result operation
