Label,Risk Sentence
1,following discussion set forth material risk factor could affect jpmorgan chase financial condition operation
1,reader consider description factor complete set potential risk could affect firm
1,risk factor discussed could combined factor materially adversely affect jpmorgan chase business result operation financial condition capital position liquidity competitive position reputation including materially increasing expense decreasing revenue could result material loss decrease earnings
1,summary principal risk factor could adversely affect jpmorgan chase business result operation financial condition capital position liquidity competitive position reputation include regulatory risk including impact applicable law rule regulation supervised financial service industry well change application interpretation enforcement law rule regulation jpmorgan chase business operation way difference financial service regulation different jurisdiction respect certain competitor negatively impact jpmorgan chase business penalty collateral consequence higher compliance operational cost jpmorgan chase may incur resolving regulatory investigation way le predictable legal regulatory framework certain country negatively impact jpmorgan chase operation financial result loss security holder absorb jpmorgan chase enter resolution
1,political risk including potential negative effect jpmorgan chase business due economic uncertainty instability caused political development
1,market risk including effect economic market event condition governmental policy change interest rate credit spread market fluctuation jpmorgan chase consumer wholesale business investment position jpmorgan chase earnings liquidity capital level
1,credit risk including potential negative effect adverse change financial condition client customer counterparties custodian central counterparties potential loss due decline value collateral stressed market condition concentration credit market risk
1,liquidity risk including risk jpmorgan chase liquidity could impaired illiquidity disruption unforeseen liquidity capital requirement inability sell asset default significant market participant unanticipated outflow cash collateral lack market customer confidence jpmorgan chase dependence jpmorgan chase co
1,cash flow subsidiary adverse effect downgrade jpmorgan chase credit rating may liquidity cost funding potential negative impact including litigation risk associated transition alternative reference rate
1,capital risk including risk failure inability jpmorgan chase maintain required level composition capital unfavorable change applicable capital requirement could limit jpmorgan chase ability distribute capital shareholder support business activity
1,operational risk including risk associated jpmorgan chase dependence operational system ability maintain workforce competence integrity health safety employee well system employee third party market participant service provider potential negative effect failing identify address operational risk related introduction change product service delivery platform legal regulatory risk related safeguarding personal information harm could caused successful cyber attack affecting jpmorgan chase extraordinary event risk associated jpmorgan chase risk management framework model estimation associated judgment used stress testing financial statement control disclosure financial reporting potential adverse effect failing comply heightened regulatory standard oversight vendor service provider
1,strategic risk including damage jpmorgan chase competitive standing result could occur management fails develop execute effective business strategy risk associated significant increasing competition jpmorgan chase face potential adverse impact climate change jpmorgan chase business operation client customer
1,conduct risk including negative impact result action misconduct employee including failure employee conduct accordance jpmorgan chase expectation policy practice
1,reputation risk including potential adverse effect jpmorgan chase relationship client customer shareholder regulator stakeholder could arise employee misconduct security breach inadequate risk 9 part management compliance operational failure litigation regulatory investigation failure satisfy expectation concerning environmental social governance concern failure effectively manage conflict interest satisfy fiduciary obligation factor could damage jpmorgan chase reputation
1,country risk including potential impact jpmorgan chase business outbreak escalation hostility country within country region potential adverse effect local economic political regulatory social factor jpmorgan chase business revenue certain country
1,people risk including criticality attracting retaining qualified diverse employee potential adverse effect unfavorable change immigration travel policy jpmorgan chase workforce
1,legal risk including relating litigation regulatory government investigation
1,summary subject entirety discussion risk factor set forth
1,regulatory jpmorgan chase business highly regulated law rule regulation apply jpmorgan chase significant impact business operation
1,jpmorgan chase financial service firm operation worldwide
1,jpmorgan chase must comply law rule regulation apply operation jurisdiction around world business financial service firm jpmorgan chase subject extensive regulation supervision
1,regulation supervision jpmorgan chase significantly affect way conduct business structure operation jpmorgan chase could required make change business operation response supervisory expectation decision new changed law rule regulation
1,type development could result jpmorgan chase incurring additional cost connection complying applicable law rule regulation could reduce profitability
1,furthermore jpmorgan chase entry acquisition new business increase principal investment may require jpmorgan chase comply additional law rule regulation
1,response new existing law rule regulation expanded supervision jpmorgan chase past could future required limit product service offer reduce liquidity provide activity refrain engaging business opportunity might otherwise pursue pay higher tax including part minimum global tax regime assessment levy governmental charge including connection resolution tax examination incur loss including respect fraudulent transaction perpetrated customer dispose certain asset time price disadvantageous impose restriction certain business activity increase price charge product service could reduce demand
1,failure jpmorgan chase comply law rule regulation subject could result increased regulatory supervisory scrutiny regulatory governmental enforcement action imposition fine penalty sanction increased exposure litigation harm reputation
1,difference inconsistency financial service regulation negatively impact jpmorgan chase business operation financial result
1,content application law rule regulation affecting financial service firm sometimes vary according factor size firm jurisdiction organized operates criterion
1,example larger firm jpmorgan chase often subject stringent supervision regulation regulatory scrutiny financial technology company competitor may subject banking regulation may supervised national state regulatory agency resource regulatory priority regulatory agency supervise diversified financial service firm financial service regulatory framework particular jurisdiction may favor financial institution based jurisdiction
1,type difference regulatory framework result jpmorgan chase losing market share competitor le regulated subject regulation especially respect unregulated financial product
1,also significant difference way similar regulatory initiative affecting financial service industry implemented u
1,example adopting rule intended implement global regulatory standard national regulator may introduce additional restrictive requirement create competitive disadvantage financial service firm jpmorgan chase may subject enhanced regulation
1,addition certain national body governmental agency outside u
1,adopted law rule regulation may conflict prohibit jpmorgan chase complying law rule regulation otherwise subject creating conflict law issue also increase risk jurisdiction
1,could require jpmorgan chase make significant modification operation legal entity structure relevant country region order comply requirement
1,include law rule regulation adopted proposed relating establishment intermediate holding company operating subsidiary requirement maintain minimum amount capital liquidity subsidiary implement process within subsidiary comply local regulatory requirement separation ring fencing core banking product service market activity resolution financial institution requirement executing settling transaction exchange central counterparties ccps position limit reporting rule derivative governance accountability regime conduct business control requirement restriction compensation
1,type difference inconsistency conflict financial service regulation required could future require jpmorgan chase divest asset restructure operation absorb increased capital liquidity cost incur higher operational compliance cost change price charge product service curtail product service offer customer client curtail business opportunity including acquisition principal investment otherwise would pursued become subject regulatory fine penalty sanction incur higher cost complying different legal regulatory framework
1,factor could harm jpmorgan chase ability compete firm subject law rule regulation supervisory oversight harm jpmorgan chase business result operation profitability
1,resolving regulatory investigation subject jpmorgan chase significant penalty collateral consequence could result higher compliance cost restriction operation
1,jpmorgan chase subject heightened oversight scrutiny regulatory authority many jurisdiction
1,jpmorgan chase paid significant fine provided monetary relief incurred penalty experienced repercussion connection resolving investigation enforcement action governmental agency
1,jpmorgan chase could become subject similar regulatory governmental resolution action future addressing requirement resolution action could result jpmorgan chase incurring higher operational compliance cost including devoting substantial resource required remediation needing comply restriction
1,connection resolving specific regulatory investigation enforcement action certain regulator required jpmorgan chase financial institution admit wrongdoing respect activity gave rise resolution
1,type admission lead greater exposure litigation damage jpmorgan chase reputation disqualification business certain client customer specific jurisdiction direct indirect adverse effect
1,government official demonstrated willingness bring criminal action financial institution required institution plead guilty criminal offense admit wrongdoing connection resolving regulatory investigation enforcement action
1,resolution type significant collateral consequence subject financial institution including loss client customer business restriction offering certain product service losing permission operate certain business either temporarily permanently
1,jpmorgan chase expects 11 part financial service firm continue subject heightened regulatory scrutiny governmental investigation enforcement action governmental authority continue require financial institution penalized actual deemed violation law formal punitive enforcement action including imposition significant monetary sanction rather resolving matter informal supervisory action governmental authority likely pursue formal enforcement action resolution jpmorgan chase extent previously subject governmental investigation enforcement action
1,jpmorgan chase fails meet requirement resolution governmental investigation enforcement action maintain risk control process meet heightened standard expectation regulator could required among thing enter resolution investigation enforcement action pay additional regulatory penalty enter judgment accept material regulatory restriction change management business
1,circumstance jpmorgan chase could also become subject sanction prosecution civil litigation respect conduct gave rise investigation enforcement action
1,jpmorgan chase operation financial result negatively impacted country le predictable legal regulatory framework
1,jpmorgan chase conduct existing new business certain country application rule law inconsistent le predictable including respect absence statutory regulatory basis guidance engaging specific type business transaction conflicting ambiguous law rule regulation inconsistent application interpretation existing law rule regulation uncertainty concerning enforceability contractual intellectual property obligation difficulty competing economy government control protects portion local economy specific business graft corruption may pervasive threat regulatory investigation civil litigation criminal prosecution arbitrary otherwise contrary established legal principle part world termination license required operate local market suspension business relationship governmental body
1,application law rule regulation country susceptible producing inconsistent unexpected outcome create difficult environment jpmorgan chase conduct business could negatively affect jpmorgan chase operation reduce earnings respect country
1,example conducting business could require jpmorgan chase devote significant additional resource understanding monitoring change local law rule regulation well structuring operation comply local law rule regulation implementing administering related internal policy procedure
1,assurance jpmorgan chase always successful effort fully understand conduct business compliance law rule regulation jurisdiction operates risk greater country le predictable legal regulatory framework
1,requirement orderly resolution jpmorgan chase could result jpmorgan chase restructure reorganize business could increase funding operational cost curtail business
1,jpmorgan chase required federal reserve fdic rule prepare submit periodically agency detailed plan rapid orderly resolution bankruptcy without extraordinary government support event material financial distress failure
1,agency evaluation jpmorgan chase resolution plan may change requirement resolution plan may modified time time
1,determination modification could result jpmorgan chase needing make change legal entity structure certain internal external activity could increase funding operational cost hamper ability serve client customer
1,federal reserve fdic determine resolution plan submitted jpmorgan chase deficiency could jointly impose stringent capital leverage liquidity requirement restriction jpmorgan chase growth activity operation
1,agency could also require jpmorgan chase restructure reorganize divest asset business way could materially adversely affect jpmorgan chase operation strategy
1,debt equity security absorb loss enter resolution
1,federal reserve rule require jpmorgan chase co
1,parent company maintain minimum level unsecured external debt absorbing capacity specific term eligible ltd purpose recapitalizing jpmorgan chase operating subsidiary parent company enter resolution either bankruptcy proceeding chapter 11 u
1,bankruptcy code receivership administered fdic title ii act title ii
1,parent company enter resolution holder eligible ltd debt equity security parent company absorb loss parent company subsidiary
1,preferred single point entry strategy jpmorgan chase resolution plan contemplates parent company would enter bankruptcy proceeding
1,jpmorgan chase subsidiary would recapitalized needed could continue normal operation subsequently divested wound orderly manner
1,result parent company loss loss incurred subsidiary would imposed first holder parent company equity security thereafter unsecured creditor including holder eligible ltd debt security
1,claim holder security would junior position claim creditor jpmorgan chase subsidiary claim priority determined statute secured creditor parent company
1,accordingly resolution parent company bankruptcy holder eligible ltd debt security parent company would realize value extent available parent company shareholder jpmorgan chase bank n
1,subsidiary claim priority secured creditor parent company fully repaid
1,fdic similarly indicated single point entry recapitalization model could desirable strategy resolve systemically important financial institution parent company title ii
1,however fdic formally adopted single point entry resolution strategy
1,parent company approach enter resolution none parent company federal reserve fdic obligated follow jpmorgan chase preferred resolution strategy loss holder eligible ltd debt equity security parent company whatever strategy ultimately followed could greater might jpmorgan chase preferred strategy
1,political economic uncertainty instability caused political development negatively impact jpmorgan chase business
1,country cause uncertainty economic environment market condition jpmorgan chase operates business
1,certain governmental policy initiative well heightened geopolitical tension could significantly affect u
1,global economic growth cause higher volatility financial market including monetary policy action taken federal reserve central bank governmental authority including sustained asset purchase suspension reversal action fiscal policy including respect taxation spending action government take fail take response effect health emergency spread infectious disease epidemic pandemic well effectiveness action taken governmental action initiative relating climate risk generally impact business activity environmental social governance esg matter management climate risk isolationist foreign policy outbreak escalation hostility geopolitical instability economic financial sanction implementation tariff protectionist trade policy governmental policy action adopted taken response political social pressure
1,type political development uncertainty possible outcome development could erode investor confidence u
1,economy financial market could potentially undermine status u
