Label,Risk Sentence
2,risk factor face variety risk substantial inherent business
2,following summary important factor could affect business market business may future adversely affected condition global financial market broader economic condition
2,business may future adversely affected declining asset value particularly net long position receive fee based value asset managed receive post collateral
2,activity may future affected change level market volatility
2,investment banking client intermediation asset management wealth management business adversely affected may future adversely affected market uncertainty lack confidence among investor ceo due decline economic activity unfavorable economic geopolitical market condition
2,asset management wealth management business may future adversely affected poor investment performance investment product client preference product offer product generate lower fee
2,inflation could continue negative effect business result operation financial condition
2,liquidity liquidity profitability business may adversely affected inability access debt capital market sell asset
2,business may future adversely affected disruption lack liquidity credit market including reduced access credit higher cost obtaining credit
2,reduction credit rating increase credit spread may adversely affect liquidity cost funding
2,holding company liquidity depends payment loan subsidiary many subject legal regulatory restriction providing fund asset group inc
2,credit business profitability liquidity may adversely affected deterioration credit quality default third party
2,concentration risk increase potential significant loss underwriting investing financing activity
2,derivative transaction delayed documentation settlement may expose u credit risk unexpected risk potential loss
2,operational failure operational system human error malfeasance misconduct could impair liquidity disrupt business result disclosure confidential information damage reputation cause loss
2,failure disruption infrastructure operational system infrastructure third party could impair liquidity disrupt business damage reputation cause loss
2,failure protect computer system network information client information cyber attack similar threat could impair ability conduct business result disclosure theft destruction confidential information damage reputation cause loss
2,may incur loss result ineffective risk management process strategy
2,legal regulatory business client subject extensive pervasive regulation around world
2,failure appropriately identify address potential conflict interest could adversely affect business
2,may adversely affected increased governmental regulatory scrutiny negative publicity
2,substantial civil criminal liability significant regulatory action u could material adverse financial effect cause u significant reputational harm turn could seriously harm business prospect
2,conducting business around world subject political legal regulatory risk inherent operating many country
2,jurisdiction facilitate orderly resolution large financial institution could create greater risk loss group inc
2,proposed resolution strategy could result greater loss group inc
2,goldman sachs 2022 form goldman sachs group inc
2,subsidiary commodity activity particularly physical commodity activity subject u extensive regulation involve certain potential risk including environmental reputational risk may expose u significant liability cost
2,competition result may future adversely affected composition client base
2,growth electronic trading introduction new product technology including trading distributed ledger technology including cryptocurrencies increased competition
2,business would adversely affected unable hire retain qualified employee
2,market development general business environment business financial condition liquidity result operation may future adversely affected unforeseen catastrophic event including pandemic terrorist attack extreme weather event natural disaster
2,climate change could disrupt business adversely affect client activity level creditworthiness client counterparties effort address concern relating climate change could result damage reputation
2,business financial condition liquidity result operation may adversely affected disruption global economy caused russia invasion ukraine related sanction development
2,certain business funding instrument financial product may adversely affected change discontinuance interbank offered rate ibors particular usd libor
2,certain business funding instrument may adversely affected change reference rate currency index basket etf product offer funding raise linked
2,business financial condition liquidity result operation may adversely affected disruption global economy caused escalating tension u
2,face enhanced risk new business initiative acquisition lead u engage new activity operate new location transact broader array client counterparties expose u new asset class market
2,may able fully realize expected benefit synergy acquisition business initiative time frame expect
2,following detailed description risk factor summarized market business may future adversely affected condition global financial market broader economic condition
2,many business nature produce predictable earnings business materially affected condition global financial market economic condition generally directly impact client activity level creditworthiness
2,financial performance highly dependent environment business operate
2,favorable business environment generally characterized among factor high global gross domestic product growth regulatory market condition result transparent liquid efficient capital market low inflation business consumer investor confidence stable geopolitical condition strong business earnings
2,unfavorable uncertain economic market condition caused low level decline economic growth business activity investor business consumer confidence concern potential recession change consumer spending borrowing pattern pandemic limitation availability increase cost credit capital illiquid market increase inflation interest rate exchange rate basic commodity price volatility default rate high level inflation stagflation concern sovereign default uncertainty concerning fiscal monetary policy government shutdown debt ceiling funding extent uncertainty potential increase tax rate regulatory change limitation international trade travel law regulation limit trading issuance security issuer outside domestic market outbreak domestic international tension hostility terrorism nuclear proliferation cybersecurity threat attack form disruption curtailment global communication energy transmission transportation network geopolitical instability uncertainty corporate political scandal reduce investor confidence capital market extreme weather event natural disaster combination factor
2,financial service industry security financial market materially adversely affected past significant decline value nearly asset class serious lack liquidity high level borrower default
2,addition concern actual potential increase interest rate inflation borrowing cost resurgence case european sovereign debt risk impact european banking system limitation international trade time negatively impacted level client activity
2,goldman sachs 2022 form 29 goldman sachs group inc
2,subsidiary general uncertainty economic political market activity scope timing impact regulatory reform well weak consumer investor ceo confidence resulting large part uncertainty past negatively impacted client activity adversely affect many business
2,period low volatility period high volatility combined lack liquidity time unfavorable impact business
2,international trade investment policy particularly important trading partner recent year negatively impacted financial market
2,continued escalating tension may result action taken u
2,country could disrupt international trade investment adversely affect financial market
2,action could include among others implementation sanction tariff foreign exchange measure sale u
2,treasury security restriction trade investment transfer information technology
2,development could adversely affect client business
2,financial institution return may negatively impacted increased funding cost due part lack perceived government support institution event future financial crisis relative financial institution country governmental support maintained
2,addition liquidity financial market past could future negatively impacted market participant market practice structure adjust evolving regulatory framework
2,treasury department commenced taking extraordinary measure prevent u
2,could default obligation including treasury security play integral role financial market
2,could result unprecedented market volatility illiquidity heightened operational risk relating clearance settlement transaction margin dispute client counterparties adverse impact investor including money market fund invest u
2,credit rating increase interest rate borrowing cost recession u
2,default continued uncertainty relating debt ceiling could result downgrade u
2,credit rating could adversely affect market condition lead margin dispute increase interest rate borrowing cost necessitate significant operational change among market participant including u
2,downgrade federal government credit rating could also materially adversely affect market repurchase agreement security borrowing lending financing typically collateralized u
2,fair value liquidity credit rating security issued obligation agency u
2,government agency well municipal bond could similarly adversely affected
2,business may future adversely affected declining asset value particularly net long position receive fee based value asset managed receive post collateral
2,many business net long position debt security loan derivative mortgage equity including private equity real estate asset class
2,include position take act principal facilitate client activity including activity commit large amount capital maintain position interest rate credit product well currency commodity equity activity
2,substantially investing position portion loan daily periodic basis decline asset value directly promptly impact earnings unless effectively hedged exposure decline
2,certain circumstance particularly case credit product including leveraged loan private equity security freely tradable lack established liquid trading market may possible economic hedge exposure extent hedge may ineffective may greatly reduce ability profit increase value asset
2,sudden decline significant volatility price asset past substantially curtailed eliminated may future substantially curtail eliminate trading market certain asset may make difficult sell hedge value asset
2,may incur loss time time trading market deteriorate cease function including respect loan commitment made security offering underwritten
2,inability sell effectively hedge asset reduces ability limit loss position difficulty valuing asset past negatively affected may future negatively affect capital liquidity leverage ratio funding cost ability deploy capital
2,activity obligated stock exchange rule maintain orderly market including purchasing security declining market
2,market asset value declining volatile market result loss increased need liquidity
2,receive management fee based value client portfolio investment fund managed u case also receive incentive fee based increase value investment
2,decline asset value would ordinarily reduce value client portfolio fund asset turn would typically reduce fee earn managing asset
2,goldman sachs 2022 form goldman sachs group inc
2,subsidiary post collateral support obligation receive collateral support obligation client counterparties
2,value asset posted collateral credit rating party posting collateral decline party posting collateral may need provide additional collateral possible reduce trading position
2,example situation margin call connection brokerage account
2,therefore decline value asset class used collateral mean either cost funding position increased size position decreased
2,party providing collateral increase cost reduce profitability party receiving collateral also reduce profitability reducing level business done client counterparties
2,addition volatile le liquid market increase difficulty valuing asset lead costly dispute asset value level required collateral well increased credit risk recipient collateral due delay receiving adequate collateral
2,case foreclose collateral sudden decline value liquidity collateral past resulted may future despite credit monitoring ability call additional collateral ability force repayment underlying obligation result significant loss u especially single type collateral supporting obligation
2,addition may future subject claim foreclosure permitted legal document conducted improper manner including violation law caused client counterparty go business
2,activity may future affected change level market volatility
2,certain activity depend market volatility provide trading arbitrage opportunity client decrease volatility reduced may future reduce opportunity level client activity associated adversely affect result activity
2,increased volatility increase trading volume spread also increase risk measured var may expose u increased risk connection activity may cause u reduce inventory order avoid increasing var
2,limiting size position adversely affect profitability
2,period volatility increasing asset value declining significantly may possible sell asset may possible steep discount
2,circumstance may future forced either take additional risk realize loss order decrease var
2,addition increase volatility increase level rwas increase capital requirement
2,investment banking client intermediation asset management wealth management business adversely affected may future adversely affected market uncertainty lack confidence among investor ceo due decline economic activity unfavorable economic geopolitical market condition
2,investment banking business may future adversely affected market condition
