,datass_csv
,0
0,"Changes in the value levels of the capital, commodities or currency markets or other asset classes could lead to a decline in revenues and earnings. "
0,Poor investment performance could lead to the loss of clients and a decline in revenues and earnings. 
0,"BlackRock may, at its option, from time to time support investment products through capital or credit support. Such support and indemnifications utilize capital that would otherwise be available for other corporate purposes. Losses or prohibitions on such support and indemnifications, or failure to have or devote sufficient capital to support products and securities lending, could have an adverse impact on revenues and earnings. "
0,Changes in the value levels of the capital markets or other asset classes could lead to a decline in the value of investments that BlackRock owns. 
0,Continued capital losses on investments could have adverse income tax consequences. 
0,The soundness of other financial institutions could adversely affect BlackRock. 
0,Loss of employees could lead to the loss of clients and a decline in revenues. 
0,"Separate account and commingled trust clients may terminate their investment management contracts with BlackRock or withdraw funds on short notice. The Company has, from time to time, lost separate accounts and could, in the future, lose accounts or significant AUM due to various circumstances such as adverse market conditions or poor performance. "
0,Failure to comply with client contractual requirements and/or guidelines could result in damage awards against BlackRock and loss of revenues due to client terminations. 
0,Competitive fee pressures could reduce revenues and profit margins. 
0,"The investment management industry, including the offering of exchange-traded funds, is highly competitive and has relatively low barriers to entry. To the extent that BlackRock is forced to compete on the basis of price, it may not be able to maintain its current fee structure. Fee reductions on existing or future new business could cause revenues and profit margins to decline. "
0,Performance fees may increase revenue and earnings volatility. 
0,Failure to maintain adequate business continuity plans could have a material adverse impact on BlackRock and its products. 
0,Failure to maintain a technological advantage could lead to a loss of clients and a decline in revenues. 
0,The failure of a key vendor to BlackRock to fulfill its obligations could have a material adverse effect on BlackRock and its products. 
0,"BlackRock depends on a number of key vendors for various fund administration, accounting, custody and transfer agent roles and other operational needs. The failure or inability of BlackRock to diversify its sources for key services or the failure of any key vendors to fulfill their obligations could lead to operational issues for the Company and in certain products, which could result in financial losses for the Company and its clients. "
0,"Risks Related to Relationships with Bank of America/Merrill Lynch, PNC, Barclays and Other Institutional Investors "
